p_vehicle,p_connected,connected_fuel,ordinary_fuel,overall_fuel,connected_time,ordinary_time,overall_time
0.1,0.1,32028.46853234467,35503.89326964692,35134.869214249586,38.139508936053055,44.688200231764135,44.006660741641724
0.1,0.3,33540.48834944627,35370.865013698356,34751.8125603947,37.43471487710478,44.25910423161733,41.94083734169511
0.1,0.5,30025.474712401734,34116.097811338506,31989.84776942789,37.280204219855825,42.65298647972334,39.85248934065704
0.1,0.7,32398.01641698357,33310.53298549309,32757.114944085373,34.05109698796081,40.96059051147805,36.05709025560385
0.1,0.9,38353.11582424783,35591.334568052895,38099.78481536757,38.58329331769669,43.00342102342102,39.02482014332416
0.1,1.0,31081.9953731535,nan,31081.9953731535,35.27257141613886,nan,35.27257141613886
0.3,0.1,51315.5879238065,48001.66434410876,48354.699302102774,61.3807805537088,61.75349663095683,61.71266258504787
0.3,0.3,44109.3043130419,45449.837578411956,45027.44674187184,53.812791886549874,58.0289164745858,56.688486265605285
0.3,0.5,44416.64307462153,44150.18732161926,44275.91512176923,51.01266200209856,55.79699150040837,53.39528518606679
0.3,0.7,41173.230632714854,40274.77644478744,40906.28474437818,45.51272847321549,50.00854719824329,46.84113365530966
0.3,0.9,39289.61043151609,40608.59417614902,39421.189765906616,44.23662200750822,49.84787645614885,44.785182090238806
0.3,1.0,51157.54271947312,nan,51157.54271947312,60.53140852404836,nan,60.53140852404836
0.5,0.1,66697.24883624223,68158.62788560143,68001.20106408358,85.50184254490934,87.48832099152224,87.27707510266718
0.5,0.3,67993.23077358463,67815.98450931847,67876.94603456171,84.70347915090153,86.88423626168064,86.24557032847754
0.5,0.5,64837.27750788091,66002.60968787588,65401.69918791969,82.1692674359214,84.20508527537453,83.1549378278719
0.5,0.7,54935.06286083885,57797.7183644725,55797.418945415855,67.48449855802713,73.15753097742562,69.18906859208653
0.5,0.9,47375.0844817999,49603.69530470096,47593.52283731346,59.18356020411026,63.00503657445277,59.56016181211983
0.5,1.0,45950.75396201866,nan,45950.75396201866,52.283427416015215,nan,52.283427416015215
